CPIAUCSL_PC1,UNRATE,FEDFUNDS,T10Y2Y,High,Low,SP500 Close,Volume,ADX,RSI,BB width
1976-06-01,5.98131,7.6,5.48,0.8013636363636365,102.50772788307883,100.9827273975719,101.76681795987216,18965000.0,,,
1976-07-01,5.55556,7.8,5.31,0.981904761904762,104.93380955287388,103.5019051688058,104.2009528023856,18750476.19047619,,,
1976-08-01,5.71956,7.8,5.29,1.1372727272727274,103.98590885509144,102.57500110973011,103.29181844537908,15758181.818181818,,,
1976-09-01,5.49451,7.6,5.25,1.178095238095238,106.13095129103888,104.63761829194569,105.45333317347935,19750000.0,,,
1976-10-01,5.46448,7.7,5.02,1.427,102.68190547398159,101.03619057791573,101.88523755754743,17209047.61904762,,,
1976-11-01,5.06329,7.8,4.95,1.4810526315789474,101.94800033569337,100.33950004577636,101.19349975585938,19051000.0,,,
1976-12-01,5.03597,7.8,4.65,1.4922727272727272,105.3386362249201,103.83136402476917,104.66090843894266,24297727.272727273,,,
1977-01-01,5.19713,7.5,4.61,1.3138095238095235,104.69142841157459,103.13571457635788,103.81333305722191,23886666.666666668,,,
1977-02-01,6.08229,7.6,4.68,1.3026315789473686,101.67473602294922,100.3168427316766,100.95578926487973,20970526.315789472,,,
1977-03-01,6.42857,7.4,4.69,1.373478260869565,101.25565172278363,99.94347746475883,100.56956481933594,18899565.217391305,,,
1977-04-01,6.95187,7.2,4.73,1.4070000000000003,99.78450012207031,98.35849990844727,99.05000076293945,20153000.0,,,
1977-05-01,6.73759,7.0,5.35,1.2019047619047616,99.44190434047154,98.12047649565197,98.76047588530041,20277142.85714286,,,
1977-06-01,6.70194,7.2,5.39,1.1481818181818186,99.82772757790305,98.55727351795544,99.28590947931463,22052272.727272727,,,
1977-07-01,6.66667,6.9,5.42,1.055263157894737,100.83631656044408,99.4931576377467,100.17842021741365,23814736.842105262,,,
1977-08-01,6.63176,7.0,5.9,0.7852173913043481,98.42826047150984,97.08999932330588,97.75000033171281,18854347.826086957,,41.259740189567424,
1977-09-01,6.42361,6.8,6.14,0.6295238095238095,96.83142816452752,95.62476348876953,96.23238045828683,18270000.0,,38.520018786037994,
1977-10-01,6.39033,6.8,6.47,0.4175000000000001,94.44238099597749,93.11476244245257,93.73952302478608,19689047.61904762,,34.47097393100913,
1977-11-01,6.71256,6.8,6.51,0.43473684210526325,94.91047523135231,93.51333327520462,94.28333391462054,23556190.476190478,,36.05018624997429,
1977-12-01,6.67808,6.4,6.56,0.5085714285714286,94.44142841157459,93.19381023588635,93.82047671363468,21474761.904761903,,35.27105773060516,
1978-01-01,6.81431,6.4,6.7,0.4704761904761906,91.0414287022182,89.67761920747303,90.24952298118954,20387619.04761905,,29.901731327614712,0.16252795109756377
1978-02-01,6.23946,6.3,6.78,0.4683333333333333,89.56526344700863,88.40947321841591,88.97526349519428,19400000.0,,28.24914208888003,0.18666813589988265
1978-03-01,6.37584,6.3,6.79,0.460909090909091,89.32454473322088,88.14909120039506,88.81954539905895,22617272.727272727,,28.045159829365485,0.20139692495947611
1978-04-01,6.5,6.1,6.89,0.41050000000000003,93.39749946594239,91.87250061035157,92.7104995727539,34780000.0,,39.751814801589305,0.2019733029822814
1978-05-01,7.14286,6.0,7.36,0.33952380952380945,98.1950007351962,96.56909075650302,97.41227306019177,35261363.63636363,,50.27881331026379,0.1888557887890502
